,carry,stable_range,stress,panic
carry,0.9411764705882353,0.058823529411764705,0.0,0.0
stable_range,0.019120458891013385,0.9445506692160612,0.036328871892925434,0.0
stress,0.0,0.07509881422924901,0.8972332015810277,0.02766798418972332
panic,0.0,0.0,0.058823529411764705,0.9411764705882353
