Date,returns,regime
2022-01-31,0.014804408066392667,stable_range
2022-02-01,0.006737318502634114,stable_range
2022-02-02,-0.04731073995912287,stable_range
2022-02-03,0.005441215831991581,stable_range
2022-02-04,0.11062688345744714,stress
2022-02-05,-0.0014398234837348135,stress
2022-02-06,0.02316687651757865,stress
2022-02-07,0.033111582709537346,stress
2022-02-08,0.006324808965338507,stress
2022-02-09,0.00498211368199733,stress
2022-02-10,-0.01760339378138894,stress
2022-02-11,-0.026921126055171853,stress
2022-02-12,-0.00386212183286643,stress
2022-02-13,-0.001112080209543203,stress
2022-02-14,0.009185768314632001,stress
2022-02-15,0.045630604487240684,stress
2022-02-16,-0.01385529504989858,stress
2022-02-17,-0.08108233071910446,stress
2022-02-18,-0.012586526423760572,stress
2022-02-19,0.002275138191892225,stress
2022-02-20,-0.043054421746525254,stress
2022-02-21,-0.03592381094835431,stress
2022-02-22,0.03213453434150656,stress
2022-02-23,-0.026183634615420347,stress
2022-02-24,0.027399579951549815,stress
2022-02-25,0.022738450595305906,stress
2022-02-26,-0.0027852723260769346,stress
2022-02-27,-0.036334517924426976,stress
2022-02-28,0.13576425730332167,panic
2022-03-01,0.026533380332524757,panic
2022-03-02,-0.009753715935407227,panic
2022-03-03,-0.03409447865241336,panic
2022-03-04,-0.0812852755652355,panic
2022-03-05,0.0066969062286334315,panic
2022-03-06,-0.025202937052357023,panic
2022-03-07,-0.0093603152707349,panic
2022-03-08,0.01758473821596099,panic
2022-03-09,0.08046083301385845,panic
2022-03-10,-0.06254685680053026,panic
2022-03-11,-0.016425482290646415,panic
2022-03-12,0.002806706804667275,panic
2022-03-13,-0.027475269974984843,panic
2022-03-14,0.04689129940953424,panic
2022-03-15,-0.00830247189817811,panic
2022-03-16,0.044865467674200424,panic
2022-03-17,-0.004690916877794194,panic
2022-03-18,0.020538517974936225,panic
2022-03-19,0.009274687432012266,panic
2022-03-20,-0.022600322885966202,panic
2022-03-21,-0.004125761887466681,panic
2022-03-22,0.03070379130997368,panic
2022-03-23,0.012531246090632069,panic
2022-03-24,0.024593725965785046,panic
2022-03-25,0.008782716407665668,panic
2022-03-26,0.0034237154855725296,panic
2022-03-27,0.050813175792382204,panic
2022-03-28,0.0065464127633699815,panic
2022-03-29,0.00714059973919024,panic
2022-03-30,-0.0085279952347302,stress
2022-03-31,-0.03291800954258311,stress
2022-04-01,0.016183454010017757,stress
2022-04-02,-0.008957035540670266,stress
2022-04-03,0.012664841243046981,stable_range
2022-04-04,0.0036337857461326666,stable_range
2022-04-05,-0.02314486060589607,stable_range
2022-04-06,-0.05294570510057487,stress
2022-04-07,0.0068529242315328075,stress
2022-04-08,-0.028353972258937266,stable_range
2022-04-09,0.011625235289932529,stable_range
2022-04-10,-0.013518646577317169,stable_range
2022-04-11,-0.06574699455484899,stable_range
2022-04-12,0.015198991801760951,stable_range
2022-04-13,0.02557641749549052,stable_range
2022-04-14,-0.030364373354540806,stable_range
2022-04-15,0.015355179227128868,stable_range
2022-04-16,-0.0031855728397045674,stable_range
2022-04-17,-0.017657522881942136,stable_range
2022-04-18,0.027546268364385663,stable_range
2022-04-19,0.016435294339235306,stable_range
2022-04-20,-0.003097867846210707,stable_range
2022-04-21,-0.020684439708319406,stable_range
2022-04-22,-0.019611085251918917,stable_range
2022-04-23,-0.006401619327578674,stable_range
2022-04-24,-0.00044170158334548267,stable_range
2022-04-25,0.024749050076096804,stable_range
2022-04-26,-0.05959955698854747,stable_range
2022-04-27,0.029052734994520196,stable_range
2022-04-28,0.013483906721524785,stable_range
2022-04-29,-0.02970235366082905,stable_range
2022-04-30,-0.023452178557919624,stable_range
2022-05-01,0.019800580200401846,stable_range
2022-05-02,0.0015645616058173508,stable_range
2022-05-03,-0.02042224184090012,stable_range
2022-05-04,0.050312677532991644,stable_range
2022-05-05,-0.08194136472907673,stress
2022-05-06,-0.014713780107637159,stress
2022-05-07,-0.015067299056939674,stress
2022-05-08,-0.04148559878699712,stress
2022-05-09,-0.1170549632581505,stress
2022-05-10,0.023678692386482958,stress
2022-05-11,-0.06962706368652095,stress
2022-05-12,0.0038423156405122537,stress
2022-05-13,0.008069582993285078,stress
2022-05-14,0.027556540350855446,stress
2022-05-15,0.03921422960887751,stress
2022-05-16,-0.047163938825930986,stress
2022-05-17,0.018675310971867837,stress
2022-05-18,-0.05768962303395388,stress
2022-05-19,0.054017472510896065,panic
